id,period,sa
1,0.01,0.436019731
2,0.02,0.446154965
3,0.022,0.452397587
4,0.025,0.459729906
5,0.029,0.470756078
6,0.03,0.473370545
7,0.032,0.476481014
8,0.035,0.478933929
9,0.036,0.481286207
10,0.04,0.485025146
11,0.042,0.487766623
12,0.044,0.49307076
13,0.045,0.496456996
14,0.046,0.500682091
15,0.048,0.517606763
16,0.05,0.5378128
17,0.055,0.547287981
18,0.06,0.56388977
19,0.065,0.575865645
20,0.067,0.587399652
21,0.07,0.594678343
22,0.075,0.609829776
23,0.08,0.655645833
24,0.085,0.694870704
25,0.09,0.707970517
26,0.095,0.705682282
27,0.1,0.72452639
28,0.11,0.795678039
29,0.12,0.882881674
30,0.13,0.939328749
31,0.133,0.950492971
32,0.14,0.931441178
33,0.15,0.944330563
34,0.16,0.957478532
35,0.17,0.9972133
36,0.18,1.031892374
37,0.19,1.04590683
38,0.2,1.068712568
39,0.22,1.059113644
40,0.24,1.059319978
41,0.25,1.087978052
42,0.26,1.117280036
43,0.28,1.093094353
44,0.29,1.069230475
45,0.3,1.062428444
46,0.32,1.050996047
47,0.34,1.059147414
48,0.35,1.062816028
49,0.36,1.06540496
50,0.38,1.068767716
51,0.4,1.07847658
52,0.42,1.089211747
53,0.44,1.113650336
54,0.45,1.117878503
55,0.46,1.111108689
56,0.48,1.083310374
57,0.5,1.066826203
58,0.55,0.951335073
59,0.6,0.841475325
60,0.65,0.819680027
61,0.667,0.818138597
62,0.7,0.769326651
63,0.75,0.663957493
64,0.8,0.599235218
65,0.85,0.574087683
66,0.9,0.535995913
67,0.95,0.498298618
68,1,0.471269045
69,1.1,0.442055628
70,1.2,0.43382937
71,1.3,0.404604211
72,1.4,0.374476838
73,1.5,0.339808079
74,1.6,0.310914951
75,1.7,0.281344298
76,1.8,0.250135735
77,1.9,0.231245462
78,2,0.220486973
79,2.2,0.193358716
80,2.4,0.1731148
81,2.5,0.164374459
82,2.6,0.155821409
83,2.8,0.135337912
84,3,0.118979154
85,3.2,0.109693153
86,3.4,0.100595147
87,3.5,0.095795006
88,3.6,0.092108563
89,3.8,0.086130735
90,4,0.080609306
91,4.2,0.077784767
92,4.4,0.074982662
93,4.6,0.07311017
94,4.8,0.070377354
95,5,0.067190106
96,5.5,0.061226947
97,6,0.055589071
98,6.5,0.050261622
99,7,0.044058131
100,7.5,0.038477217
101,8,0.034069898
102,8.5,0.029880703
103,9,0.025831604
104,9.5,0.022557937
105,10,0.019970007
106,11,0.015528469
107,12,0.012073495
108,13,0.009624948
109,14,0.007797992
110,15,0.006476405
111,20,0.003084872
