id,story_group_id,element_group_id,description,direction,x_start,z_start,offset_start,offset_end,trib_wt
1,1,5,story 1 exterior line,x,71,0,0,0,0.5
2,1,1,story 1 interior line,x,71,300,0,0,1
3,1,1,story 1 exterior line,x,71,600,0,0,1
4,1,5,story 1 interior line,x,71,900,0,0,0.5
5,1,8,first story walls B,z,71,450,0,0,0.15
6,1,8,first story walls D,z,671,450,0,0,0.15
7,1,9,first story walls E,z,971,450,0,0,0.15
8,1,8,first story walls F,z,1271,450,0,0,0.15
9,2,6,story 2 exterior line,x,71,0,0,0,0.5
10,2,2,story 2 interior line,x,71,300,0,0,1
11,2,2,story 2 exterior line,x,71,600,0,0,1
12,2,6,story 2 interior line,x,71,900,0,0,0.5
13,2,10,second story walls west,z,0,450,0,0,0.355
14,2,10,second story walls east,z,1642,450,0,0,0.355
